symbol,token_name,tweet_time,entry_time,entry_price,delay_hours,evidence_source,return_24h,return_7d,return_30d,max_30d,min_30d,status,tweet_url,tweet_text,ocr_text
SUI,Sui,2025-03-03T10:09:21.000Z,2025-03-03T12:00:00.000Z,2.9464,1.84,文字,-18.84%,-23.65%,-15.93%,+2.29%,-33.39%,ok,https://x.com/nihaovand/status/1896503154046595354,"嘻嘻，前段时间深度分析了SUI 上的流动性激增的原因和他们的稳定币和 Defi 生态；并且登上了各大媒体的头版～ 

去年的这个时间，就看见SUI在大力激励 Defi 生态，现在已经见到了一个扩展性与流动性激增的生态，我们都在寻找下一个Solana 

我相信下一轮的 DEFI Summer 十分有可能发生在这里： 

- 受到激励的 DeFi 协议需求 
- 机构存款与交易所的冲提支持 
- 更加安全的架构....  

但是大家在学习的时候也要记得多喝水呀～ 关注@SuiNetworkCN & @Walrus_CN ，并且在评论区留言，我抽5份SUI 周边给大家！",
SUI,Sui,2025-03-06T14:12:53.000Z,2025-03-06T16:00:00.000Z,2.92,1.79,文字,-7.16%,-26.92%,-24.67%,+2.61%,-32.79%,ok,https://x.com/nihaovand/status/1897651601843916880,"SUI  牛逼，SUI 一根擎天柱，这下带大家胜利了

SUI 这三天一直使劲奶直接原地起飞！ 推文评论区抽100枚SUI，送给小水滴！",
SUI,Sui,2025-03-28T10:38:14.000Z,2025-03-28T12:00:00.000Z,2.5538,1.36,文字,-10.15%,-12.73%,+38.70%,+49.27%,-32.75%,ok,https://x.com/nihaovand/status/1905570117427343467,"GM，家人们，有一说一 OKX 的审美真的很好

每天睡醒第一件事是喝一大杯咖啡，然后回复所有消息并且关注一切；是一个S欲望很强的人，也是经验认知都很丰富的人，推进一切，让我们加油

空虚的脸只会被人诟病，有实力的哥不会被人攻击，很努力的，这几天带大家都赚不少：SUI、Morph NFT、Plume、Solv... 一切

会努力带大家赚钱的，也会给大家追寻更多福利；Sidekick. live 中",
SUI,Sui,2025-04-04T05:05:41.000Z,2025-04-04T08:00:00.000Z,2.2618,2.91,文字,-0.43%,-3.63%,+42.93%,+71.32%,-24.07%,ok,https://x.com/nihaovand/status/1908023144612577701,"My best friend Mosse 是我见过非常认真的Researcher 

我们曾共同研究过多个项目的叙事、框架，以及他们底层代码与运作方式的构成；

并且以此在市场上获得过大量的盈利，例如 SUI 生态的 Defi 和 LSDfi 理财，SUI当时价格是 0.7；

我相信我们会在一起发现更多机会，转发点赞关注 @Moose777_  我将抽出20位幸运儿送出10u❤️💜💚",0 0 RWAFI
BNB,BNB,2025-02-12T16:48:15.000Z,2025-02-12T20:00:00.000Z,692.89,3.20,文字+配图OCR,-4.07%,-5.70%,-15.17%,+5.64%,-26.83%,ok,https://x.com/nihaovand/status/1889718171462148584,"今天 Binance 的涨幅榜被 BNB Chain 生态统治了

让我们来关注下哪些已经上 Binance 的优质 BNB Chain 标的， 我已经购入了一些优质的基础设施代币；

欢迎大家在评论区补充，我会快速更新第二版速视图",Asian on chain 2025 QI BNB Chain Ecosytem 已 经 TGE 0 0 仅 列 出 已 经 TGE 且 值 得 关 注 的 项 目 X/Twitter @nihaovand @Asianonchian 截 止 至 ； 2025 / 02 / 11 BakerySwap 0 BNB Chain 上 的 一 体 化 DeFi 平 台 Four.Meme 0 BSC Meme 启 动 平 台 Lista DAO 用 于 借 贷 和 賺 取 收 益 的 开 源 流 动 性 协 议 ElIipsis 是 Curve Finance 在 BNB 链 上 的 授 权 分 叉 Venus Protocol 基 于 BNB 链 的 去 中 心 化 借 贷 平 台 BurgerCities 0 BNB 的 P2E MetaFi 平 台 Cookie3 Cookie3 正 在 构 建 一 套 MarketingFi 平 台 和 Web3 AI 营 綃 解 决 方 案 0 基 于 Binance Smart chain 的 流 动 性 挖 矿 优 化 器 PancakeSwap 0 BNB Chain 上 的 去 中 心 化 交 易 所 AIpaca Finance 0 贷 款 协 议 ， 允 许 在 和 Fantom 上 进 行 杠 杆 挖 矿 Biswap 0 其 用 户 提 供 了 交 易 BEP-20 代 币 、 提 供 流 动 性 并 获 得 被 动 收 入 作 为 回 报 DODO 去 中 心 化 的 交 易 平 台 BinaryX CyberDragon 和 CyberArena 背 后 的 GameFi 开 发 平 台 Thena 0 基 于 BNB Chian 的 自 动 化 做 市 商 SPACE ID SPACE ID 正 在 构 建 一 个 具 有 一 站 式 身 份 平 台 的 通 用 域 名 服 务 网 络 Test 由 BNB Chain 团 队 发 布 的 测 试 代 币
BNB,BNB,2025-03-08T15:08:35.000Z,2025-03-08T16:00:00.000Z,599.46,0.86,文字+配图OCR,-6.49%,+2.01%,-7.62%,+7.58%,-15.42%,ok,https://x.com/nihaovand/status/1898390396201578959,"给大家发个BNB红包！ 少关注八卦，多关注福利，AsianBro 又给大家带来奖励了，多研究，多学习，多领奖

顺便给大家Firefly的周边空投～ 评论区留言，我抽10位粉丝宝宝，爱大家💜
https://t.co/B9RNIJ5xhV! #FireflyLuckyDrop https://t.co/mWbQTMP8OI",《 '•/ibe check HO 是 丿 鬥 0 门 d 彐 ？ PO uour 甬 00d 比 旷 OL h Fireflu. 0 · 1 BNB Fro
BNB,BNB,2025-08-16T07:54:55.000Z,2025-08-16T08:00:00.000Z,835.4,0.08,文字,+3.13%,+6.35%,+10.14%,+13.11%,-2.01%,ok,https://x.com/nihaovand/status/1956625705372094706,"恭喜 BNB 前几天突破新高，说实话这是意料之中的事。我觉得 BNB 已经不可避免成为最长期的标的之一了

因为BNB是目前所有代币中，生态最完善的代币了

- Binance 交易所回购（顶级CEX的支持），最近都喜欢炒币股，没有人发现 BNB 就是 Binace 的股么，最真实的RWA概念

同时 Binance Alpha 支持，保持链上不断有新资产发行

10X Capital 与 YZi Labs 也开始合作推动 BNB 走向传统金融市场。

BNB 其实已经逐渐脱离 Binace 平台币的概念了 ：

- 完善的基础设施生态
- 成为高性能公链
- 更多的活跃用户与稳定币资产支持...... 有很多朋友只会买币不会卖币，只有BTC/ETH只买不卖不会让你亏钱，BNB目前看来是第三个

祝贺 BNB ATH，回调的话，我再加点",Aperture | f / 2 ． 5 Shutter 《 1 / 90s ISO | 800
SOLV,Solv Protocol,2025-03-17T10:46:01.000Z,2025-03-17T12:00:00.000Z,0.04032,1.23,文字,-7.09%,-11.93%,-43.60%,+2.38%,-46.35%,ok,https://x.com/nihaovand/status/1901585811281490122,"深度研究和分析了 SOLV 在比特币领域，以及机构资金采用的关键实力和作为优质标的的可能性

去年这个时候比特币赛道正在火热进行，而现在这个阶段关键的趋势已经表现出来了：

1️⃣ BTCFi：从实验阶段迈向增长型赛道

2️⃣ 主流资金将大规模采用加密货币

在这样一个基础上 SOLV 的确是最优质的标的，因为其也正在走向一站式的大规模资金理财门户、Defi 生态的流动性提供层等基础

举手赞赞，也欢迎宝宝们留言交流，评论区我抽 10份SOLV的周边和 1k Solv Token 给大家！",T-shirt 44SOlV Bottle SOIV SOIV Cap SOIV
SOLV,Solv Protocol,2025-03-28T10:38:14.000Z,2025-03-28T12:00:00.000Z,0.03157,1.36,文字,-8.58%,-13.21%,+0.19%,+10.83%,-31.49%,ok,https://x.com/nihaovand/status/1905570117427343467,"GM，家人们，有一说一 OKX 的审美真的很好

每天睡醒第一件事是喝一大杯咖啡，然后回复所有消息并且关注一切；是一个S欲望很强的人，也是经验认知都很丰富的人，推进一切，让我们加油

空虚的脸只会被人诟病，有实力的哥不会被人攻击，很努力的，这几天带大家都赚不少：SUI、Morph NFT、Plume、Solv... 一切

会努力带大家赚钱的，也会给大家追寻更多福利；Sidekick. live 中",
GPS,GoPlus Security,2025-02-01T10:16:26.000Z,2025-03-04T12:00:00.000Z,0.1048,745.73,文字+配图OCR,,,,,,excluded_first_day,https://x.com/nihaovand/status/1885633300997558476,"更新了一下 2025 Q1 大概率 TGE的项目

弱弱提醒下个各位 Q1 只剩下 2 个月了哦～ 各位 Founder  记得过完春节复工发币，空投/拉盘代币涨涨，让大家美美过完 2025 

目前表现最好的是： GPS/Goplus，冲！ https://t.co/PXc1QWbm64",Asian on chain 2025 QI TGE 不 代 表 官 方 ， 非 最 终 结 果 ， 为 大 概 预 测 X/Twitter @nihaovand 截 止 至 ： 2025 / 02 / 01 ， 变 色 字 体 为 已 TGE 0 @ ． 0 。 0 0 List （ 以 下 排 名 不 分 先 后 ） 0 0 SoIayer 0 Nillion 0 Duckchain Pinai Humanity 0 Jambo Nodepay 0 Tea 的 Mint 0 Plume 0 Goplus 0 Taker 0 SOIV Redstone 0 ． Azuki 0 Bio Analog Doubler ． Soon 0 Alaya 6 ArteIa 9 StO ry L-• Linea DIN 0 Sign 0 KeIp DAO UtXO Stack
